Details,Credit
"4refuel US, Llc","$150,000.00"
Aban Offshore Limited,"$700,000.00"
Abu Dhabi National Tanker Company (ADNATCO)     5000000,"$5,000,000.00"
"Ace Quantum Chemical Tankers C,V,       1250000","$1,250,000.00"
Ace Shipping A/S        100000,"$100,000.00"
Ace Tankers CV  3500000,"$3,500,000.00"
Adakent Denizcilik Ltd  3000000,"$3,000,000.00"
Adamoglu Denizcilik Ltd 60000,"$60,000.00"
Adani Global Pte Ltd    2400000,"$2,400,000.00"
ADM International Sàrl  3000000,"$3,000,000.00"
"Admiral Container Lines Inc, Ltd        350000","$350,000.00"
Adventure Canada Ontario        600000,"$600,000.00"
Aeromic Shipping (S) Pte Ltd    300000,"$300,000.00"
AET Inc Ltd     2000000,"$2,000,000.00"
AET Tankers Pte Ltd     7000000,"$7,000,000.00"
Afri-Bulk Navigation Pte Ltd    250000,"$250,000.00"
"Agriculture & Energy Carriers, Ltd, Bahamas     500000","$500,000.00"
"Agunsa Europa S,A,      300000","$300,000.00"
Aims Shipping Corp      200000,"$200,000.00"
Aker Biomarine Antarctic As     4000000,"$4,000,000.00"
Akkon Denizcilik AS     600000,"$600,000.00"
Akmar Shipping & Trading SA     500000,"$500,000.00"
Akofs 2 AS      700000,"$700,000.00"
Al Ghurair Energy DMCC  2000000,"$2,000,000.00"
Al Ghurair Resources LLC        6000000,"$6,000,000.00"
"Alassia NewShips Management Inc,        350000","$350,000.00"
Alcatel Submarine Networks Marine SASU  1000000,"$1,000,000.00"
"Alcyone International Marine Inc,       300000","$300,000.00"
Algoma Central Corporation      500000,"$500,000.00"
Alkon Holding Inc       350000,"$350,000.00"
All Profit Ship Magement Co Ltd         83000,"$83,000.00"
Alliance Tanker Management      250000,"$250,000.00"
Alma Shipmanagement and Trading SA      100000,"$100,000.00"
Almi Marine Management SA       200000,"$200,000.00"
Almi Tankers SA 7500000,"$7,500,000.00"
Alpha Bulkers Shipmanagement Inc        8000000,"$8,000,000.00"
Alpha Reefer Transport GmbH     430000,"$430,000.00"
"Alpha Trading S,p,A,    200000","$200,000.00"
Alpina Shipping Agencies Aps    200000,"$200,000.00"
Altair Shipping and Trading Corp        350000,"$350,000.00"
Altomare SA     100000,"$100,000.00"
Ama Marine Public Co Ltd        800000,"$800,000.00"
Amaggi SA       1000000,"$1,000,000.00"
Amarante Shipping Pte Ltd       270000,"$270,000.00"
AMC International Holdings Limited      1000000,"$1,000,000.00"
"Amur Shipping Company, AO       300000","$300,000.00"
Andriaki Shipping Co Ltd        1500000,"$1,500,000.00"
Apl Co Pte Ltd  4000000,"$4,000,000.00"
Approved Energy (Singapore) Pte Ltd     100000,"$100,000.00"
Aquamar Shipping LLC    100000,"$100,000.00"
"Aquavita International S,A      2000000","$2,000,000.00"
"Arab Maritime Petroleum Transport Co,   2300000","$2,300,000.00"
Arab Shipbuilding and Repair Yard       400000,"$400,000.00"
ARCADIA FUELS PTY LTD   300000,"$300,000.00"
Arel Denizcilik AS      500000,"$500,000.00"
ARGO CORAL MARITIME     100000,"$100,000.00"
Ariadne Shiptrade SA    1600000,"$1,600,000.00"
Arkas Bunkering & Trading SA    150000,"$150,000.00"
Arkas Konteyner Tasimacilik AS  3000000,"$3,000,000.00"
Arktik Shipping OOO     115000,"$115,000.00"
Armador Gemi Ltd        3000000,"$3,000,000.00"
Arte Bunkering OU       250000,"$250,000.00"
Asaro Matteo Cosimo Vincenzo    200000,"$200,000.00"
Asean Cableship Pte Ltd 880000,"$880,000.00"
Ashley Global Shipping Limited  330000,"$330,000.00"
Asia Maritime Pacific (Shanghai) Limited        7200000,"$7,200,000.00"
"ASIAD ENTERPRISE PTE, LTD,      60000","$60,000.00"
ASIAN LIFT PTE LTD      550000,"$550,000.00"
AS-MIRA PETROL VE KIMYA         400000,"$400,000.00"
Asphaltos Trade SA      400000,"$400,000.00"
Associated Maritime Co (HK) Ltd 350000,"$350,000.00"
ASTRA SHIPMANAGEMENT INC        250000,"$250,000.00"
Atlantic Aardolieproducten Maatschappij BV      500000,"$500,000.00"
Atlantic Coal and Bulk  2300000,"$2,300,000.00"
Atlantikaromas LDA      1100000,"$1,100,000.00"
Atobatc Holding AB      330000,"$330,000.00"
ATOBATCSHIPPING AB      200000,"$200,000.00"
AUDACIA TRANSPORT       1500000,"$1,500,000.00"
"Aug, Bolten WM  Miller's Nachfolger (GmbH & Co) KG      500000","$500,000.00"
Aurora Marine Fuels Ltd 1000000,"$1,000,000.00"
Aurora Tankers International Ltd        500000,"$500,000.00"
"Aurora Tankers Management Pte,  500000","$500,000.00"
Ausca Shipping HK Limited       200000,"$200,000.00"
"Avin International Ltd, 5000000","$5,000,000.00"
Bahrain Bulk Trade Co Ltd Wll   150000,"$150,000.00"
Bainbridge Navigation Private Limited   500000,"$500,000.00"
Bainbridge Navigation Pte Ltd   500000,"$500,000.00"
Baltic Reefers Ltd      500000,"$500,000.00"
Baltic Shipping Company A/S     300000,"$300,000.00"
Baltik Shipping OOO     1000000,"$1,000,000.00"
BALTNAV A/S     350000,"$350,000.00"
Baltnav Singapore Pte Ltd       1000000,"$1,000,000.00"
Baltrader Schifffahrtsgesellschaft mbH & Co KG  500000,"$500,000.00"
Balt-Shtok OOO  100000,"$100,000.00"
Bao-Trans Enterprises Limited   3000000,3000000
"BARONE SHIPPING COMPANY S,      100000","$100,000.00"
Baru Delta Maritime Ltd         200000,200000
Bay Crest Management Pte Ltd    600000,"$600,000.00"
Bay Ferries Limited     150000,150000
Baytas Tanker Denizcilik Turizm Sanayi ve Ticaret Ltd Sti       300000,300000
"BBC Chartering Carriers GmbH & Co, Kg   1600000",1600000
BDH QUADRO MARINE LIMITED       300000,300000
Beibu Gulf Holding (Hong Kong)  1200000,"$1,200,000.00"
Beibu Gulf Holding      3700000,"$3,700,000.00"
BENZMARK DEVELOPMENT (M)        500000,"$500,000.00"
BERGE BULK SHIPPING PTE LTD     1000000,1000000
Bergen Bunkers AS       800000,800000
BERNHARD SCHULTE        200000,"$200,000.00"
Best Oasis Limited      200000,"$200,000.00"
"BG SHIPPING CO, LTD     1000000",1000000
BGN INT DMCC    500000,"$500,000.00"
"BGP Inc,, China National Petroleum      400000","$400,000.00"
"Biglift Holding B,V,    500000","$500,000.00"
Bihar International Co  200000,"$200,000.00"
Bintang Subsea Indonesia PT     360000,360000
Biron & CIE     300000,300000
BK Shipping Co Ltd      300000,"$300,000.00"
