company_name,credit
"4refuel US, Llc",150000
"Aban Offshore Limited",700000
"Abu Dhabi National Tanker Company (ADNATCO)",5000000
"Ace Quantum Chemical Tankers C.V.",1250000
"Ace Shipping A/S",100000
"Ace Tankers CV",3500000
"Adakent Denizcilik Ltd",3000000
"Adamoglu Denizcilik Ltd",60000
"Adani Global Pte Ltd",2400000
"ADM International Sàrl",3000000
"Admiral Container Lines Inc. Ltd",350000
"Adventure Canada Ontario",600000
"Aeromic Shipping (S) Pte Ltd",300000
"AET Inc Ltd",2000000
"AET Tankers Pte Ltd",7000000
"Afri-Bulk Navigation Pte Ltd",250000
"Agriculture & Energy Carriers, Ltd. Bahamas",500000
"Agunsa Europa S.A.",300000
"Aims Shipping Corp",200000
"Aker Biomarine Antarctic As",4000000
"Akkon Denizcilik AS",600000
"Akmar Shipping & Trading SA",500000
"Akofs 2 AS",700000
"Al Ghurair Energy DMCC",2000000
"Al Ghurair Resources LLC",6000000
"Alassia NewShips Management Inc.",350000
"Alcatel Submarine Networks Marine SASU",1000000
"Alcyone International Marine Inc.",300000
"Algoma Central Corporation",500000
"Alkon Holding Inc",350000
"All Profit Ship Magement Co Ltd",83000
"Alliance Tanker Management",250000
"Alma Shipmanagement and Trading SA",100000
"Almi Marine Management SA",200000
"Almi Tankers SA",7500000
"Alpha Bulkers Shipmanagement Inc",8000000
"Alpha Reefer Transport GmbH",430000
"Alpha Trading S,p,A.",200000
"Alpina Shipping Agencies Aps",200000
"Altair Shipping and Trading Corp",350000
"Altomare SA",100000
"Ama Marine Public Co Ltd",800000
"Amaggi SA",1000000
"Amarante Shipping Pte Ltd",270000
"AMC International Holdings Limited",1000000
"Amur Shipping Company, AO",300000
"Andriaki Shipping Co Ltd",1500000
"Apl Co Pte Ltd",4000000
"Approved Energy (Singapore) Pte Ltd",100000
"Aquamar Shipping LLC",100000
"Aquavita International S,A",2000000
"Arab Maritime Petroleum Transport Co.",2300000
"Arab Shipbuilding and Repair Yard",400000
"ARCADIA FUELS PTY LTD",300000
"Arel Denizcilik AS",500000
"ARGO CORAL MARITIME",100000
"Ariadne Shiptrade SA",1600000
"Arkas Bunkering & Trading SA",150000
"Arkas Konteyner Tasimacilik AS",3000000
"Arktik Shipping OOO",115000
"Armador Gemi Ltd",3000000
"Arte Bunkering OU",250000
"Asaro Matteo Cosimo Vincenzo",200000
"Asean Cableship Pte Ltd",880000
"Ashley Global Shipping Limited",330000
"Asia Maritime Pacific (Shanghai) Limited",7200000
"ASIAD ENTERPRISE PTE, LTD,",60000
"ASIAN LIFT PTE LTD",550000
"AS-MIRA PETROL VE KIMYA",400000
"Asphaltos Trade SA",400000
"Associated Maritime Co (HK) Ltd",350000
"ASTRA SHIPMANAGEMENT INC",250000
"Atlantic Aardolieproducten Maatschappij BV",500000
"Atlantic Coal and Bulk",2300000
"Atlantikaromas LDA",1100000
"Atobatc Holding AB",330000
"ATOBATCSHIPPING AB",200000
"AUDACIA TRANSPORT",1500000
"Aug, Bolten WM  Miller's Nachfolger (GmbH & Co) KG",500000
"Aurora Marine Fuels Ltd",1000000
"Aurora Tankers International Ltd",500000
"Aurora Tankers Management Pte.",500000
"Ausca Shipping HK Limited",200000
"Avin International Ltd.",5000000
"Bahrain Bulk Trade Co Ltd Wll",150000
"Bainbridge Navigation Private Limited",500000
"Bainbridge Navigation Pte Ltd",500000
"Baltic Reefers Ltd",500000
"Baltic Shipping Company A/S",300000
"Baltik Shipping OOO",1000000
"BALTNAV A/S",350000
"Baltnav Singapore Pte Ltd",1000000
"Baltrader Schifffahrtsgesellschaft mbH & Co KG",500000
"Balt-Shtok OOO",100000
"Bao-Trans Enterprises Limited",3000000
"BARONE SHIPPING COMPANY S.",100000
"Baru Delta Maritime Ltd",200000
"Bay Crest Management Pte Ltd",600000
"Bay Ferries Limited",150000
"Baytas Tanker Denizcilik Turizm Sanayi ve Ticaret Ltd Sti",300000
"BBC Chartering Carriers GmbH & Co. Kg",1600000
"BDH QUADRO MARINE LIMITED",300000
"Beibu Gulf Holding (Hong Kong)",1200000
"Beibu Gulf Holding",3700000
"BENZMARK DEVELOPMENT (M)",500000
"BERGE BULK SHIPPING PTE LTD",1000000
"Bergen Bunkers AS",800000
"BERNHARD SCHULTE",200000
"Best Oasis Limited",200000
"BG SHIPPING CO, LTD",1000000
"BGN INT DMCC",500000
"BGP Inc,, China National Petroleum",400000
"Biglift Holding B.V.",500000
"Bihar International Co",200000
"Bintang Subsea Indonesia PT",360000
"Biron & CIE",300000
"BK Shipping Co Ltd",300000
"Black Bull Logistics SL",100000
"Blue Fin Tankers Inc",1000000
"Blue Planet Shipping Ltd",200000
"Blue Sea Fishing Company Pty Ltd",1300000
"Blue Star Line A/S",1000000
"Blue Wave Ooo",75000
"Blue Wave Shipping Inc",80000
"Boa Ocv AS",400000
"Bocimar International NV",7000000
"Boeckmans Belgie NV",100000
"Bogserteam Öresund AB",100000
"BOKE SERVICES MANAGEMENT,",300000
"Borealis Tanker Kiralama AS",400000
"BORUS TRANSPORTES",300000
"Borusan Lojistik AS",400000
"Boskalis International BV",200000
"Bostomar Shipping Pte Ltd",300000
"BP Shipping Limited",2000000
"BP Shipping Limited",20000000
"BP SINGAPORE PTE LIMITED",2000000
"BPCL International FZE",150000
"BPG Shipping Company DMCC",400000
"Brazilian Navy Commission",350000
"BreadBox Shipping Lines BV",50000
"BREB GmbH & Co. KG",300000
"Briese Chartering GmbH & Co. KG",12000000
"Bright Denizcilik ve Gemi Isletmeciligi A,S",300000
"Bright Navigation Inc",200000
"BRIGHT NAVIGATION INC",250000
"British Bulkers Inc.",200000
"Britoil Offshore Services Pte Ltd",150000
"Brochart KB",500000
"Bryggen Shipping International AS",500000
"BTS Tankers Pte Ltd",700000
"Bulk Atlantic Inc",500000
"BULKSEAS MARINE",400000
"Bundesamt Fur Inffrastrukturur - Baiudbw",7400000
"Bunge Latin America LLC",1500000
"Bunge SA",20000000
"Bunker Partner OÜ",50000
"BW Green Carriers AS",3000000
"BW Green Transport AS",1000000
"C P Company Limited",170000
"C Transport Holding Ltd",1000000
"C&S ENERGY CO LTD",300000
"CA SHIPPING PTE, LIMITED",500000
"Calamity Jane Transport Chartering",300000
"Canakkale Ayna Denizcilik AS",600000
"Canfornav Inc",1000000
"Canpotex Shipping Services",300000
"CAPE SHIPPING S.A.",350000
"CAPELLE CHARTERING",200000
"Capital World Maritime Ltd.",600000
