"company_name","credit","seasearcher_id","country","country_code"
"Delmore Ventures Limited","20000","514286","Albania","ALB"
"Rafaelo 2002 Sha","150000","","Albania","ALB"
"Hyproc Shipping Company SPA","1000000","","Algeria","DZA"
"Saipem SA","3000000","597814","Angola","AGO"
"CMA CGM","32000000","295120","Arab Republic of Egypt","EGY"
"ARCADIA FUELS PTY LTD","300000","650367","Australia","AUS"
"FMC Technologies Australia","1500000","","Australia","AUS"
"JK International Pty Limited","800000","206603","Australia","AUS"
"MCDERMOTT AUSTRALIA PTY.","1000000","","Australia","AUS"
"Trade Ocean Shipping Services Pty Ltd","300000","","Australia","AUS"
"Agriculture & Energy Carriers. Ltd. Bahamas","500000","","Bahamas","BHS"
"Harbour Island Shipping Limited","300000","292373","Bahamas","BHS"
"Pioneer Navigation Ltd (Bahamas)","1000000","","Bahamas","BHS"
"Swedish Orient Line (Bahamas) Ltd","1000000","","Bahamas","BHS"
"Arab Shipbuilding and Repair Yard","400000","","Bahrain","BHR"
"The Sol Group","1300000","","Barbados","BRB"
"AUDACIA TRANSPORT","1500000","483369","Belgium","BEL"
"Bocimar International NV","7000000","590983","Belgium","BEL"
"Boeckmans Belgie NV","100000","186001","Belgium","BEL"
"Cobelfret Ferries NV","1500000","574506","Belgium","BEL"
"Conti-Lines NV","3000000","590983","Belgium","BEL"
"Engie Energy Management SCRL","3500000","495341","Belgium","BEL"
"Euro Marine Logistics N.V.","250000","320826","Belgium","BEL"
"Euronav NV","1250000","555109","Belgium","BEL"
"LALEMANT NV","400000","37274","Belgium","BEL"
"Normed Belgium BVBA","200000","383943","Belgium","BEL"
"RAIN CARBON BVBA","300000","","Belgium","BEL"
"Societe d'Exploitation du Pioneering","5500000","482584","Belgium","BEL"
"BG SHIPPING CO. LTD","1000000","77611","Belize","BLZ"
"Mediterranean Shipping Co. S.A. (MSC)","72000000","95698","Belize","BLZ"
"DHT HOLDINGS INC C/O DHT","3000000","","Bermuda","BMU"
"Frontline Shipping Limited","7000000","284142","Bermuda","BMU"
"Golar LNG Limited","15000000","176566","Bermuda","BMU"
"Golar LNG Management Ltd","7500000","","Bermuda","BMU"
"PIONEER NAVIGATION LTD C/O","600000","","Bermuda","BMU"
"SWIRE PACIFIC OFFSHORE","500000","39691","Bermuda","BMU"
"TEAM TANKERS CITY CLASS","1000000","476857","Bermuda","BMU"
"Teekay Chartering Limited","4300000","302565","Bermuda","BMU"
"Teekay LNG Partners LP","1000000","","Bermuda","BMU"
"Brazilian Navy Commission","350000","","Brazil","BRA"
"Lyra Maritima Ltda","750000","","Brazil","BRA"
"PAN OCEAN CO LTD","2500000","154907","British Virgin Islands","VGB"
"Primetransport Ltd","450000","274935","British Virgin Islands","VGB"
"Sonara","12500000","58520","Cameroon","CMR"
"Adventure Canada Ontario","600000","","Canada","CAN"
"Algoma Central Corporation","500000","533","Canada","CAN"
"Bay Ferries Limited","150000","88432","Canada","CAN"
"Canfornav Inc","1000000","239843","Canada","CAN"
"Canpotex Shipping Services","300000","285857","Canada","CAN"
"CSAL CANADA-STATES-AFRICA-","100000","","Canada","CAN"
"Norvic Shipping International","2500000","502574","Canada","CAN"
"One Ocean Expeditions inc","1200000","529690","Canada","CAN"
