company_name,credit
"Adventure Canada Ontario",600000
"Afri-Bulk Navigation Pte Ltd",250000
"All Profit Ship Magement Co Ltd",83000
"Alma Shipmanagement and Trading SA",100000
"Alpina Shipping Agencies Aps",200000
"Altair Shipping and Trading Corp",350000
"Approved Energy (Singapore) Pte Ltd",100000
"Arab Shipbuilding and Repair Yard",400000
"AS-MIRA PETROL VE KIMYA",400000
"Atlantic Coal and Bulk",2300000
"ATOBATCSHIPPING AB",200000
"Ausca Shipping HK Limited",200000
"Baltik Shipping OOO",1000000
"Bao-Trans Enterprises Limited",3000000
"Baytas Tanker Denizcilik Turizm Sanayi ve Ticaret Ltd Sti",300000
"Bintang Subsea Indonesia PT",360000
"Biron & CIE",300000
"Bogserteam Öresund AB",100000
"Borusan Lojistik AS",400000
"Bostomar Shipping Pte Ltd",300000
"BP SINGAPORE PTE LIMITED",2000000
"BPCL International FZE",150000
"Brazilian Navy Commission",350000
"Bundesamt Fur Inffrastrukturur - Baiudbw",7400000
"Bunker Partner OÜ",50000
"BW Green Carriers AS",3000000
"BW Green Transport AS",1000000
"C&S ENERGY CO LTD",300000
"Carl Jensen's Marinelager A/S",400000
"CESSNETE SDN BHD",100000
"Chaka Eidzhensi TOV",2000000
"CHBSK OOO",50000
"Chemoil Monde-Export Mondex",400000
"Combined Mining and Shipping",400000
"Conex Petroleum Services Inc",9000000
"CONGELADOS NORIBERICA SA",120000
"COOPERATIE VOOR DE",2000000
"COPA SHIPPING DMCC",250000
"COT General Trading FZE",12000000
"CSAL CANADA-STATES-AFRICA-",100000
"D'Amico Dry Designated Activity Company",3000000
"De Poli Tankers BV",310000
"DHT HOLDINGS INC C/O DHT",3000000
"Diamond Offshore Drilling SDN",1800000
"DOF Subsea Asia Pacific Pte Ltd",220000
"DOW CHEMICAL PACIFIC PTE",300000
"E C B International General Trading",100000
"Eihou Shoun Limited",100000
"Eimskipafelag Islands Ehf",7500000
"EMC GAS COPROPATION",500000
"EMT Marine Trade FZE",400000
"ENDEAVOUR BUNKER TRADING",250000
"Envisan France SAS",1500000
"Epic Companies LLC",800000
"Equinor Metanol ANS",2000000
"Equinor Refining Denmark AS",100000
"Eurotank Maritime DMCC",150000
"Faeton TOV",3500000
"Festi HF",2500000
"FF Handelsafdeling ApS",15000000
"FFS Refiners (Pty) Ltd",10000
"Finnlines Oyj",750000
"FMC Technologies Australia",1500000
"FNSA FUEL LTD FZE - FNSA",500000
"Forsvaret - Forsvarsmateriell",6500000
"Forsvaret og Forsvarsministeriets Styrelser",25000000
"Frederikshavn Maritime Uddan-",100000
"Freight Force AG",2000000
"Fuel Masters LLC",475000
"Future Oil & Grease Industry FZ",100000
"Gecoship AS",600000
"GEFO Gesellschaft Für Oeltransporte MBH",3000000
"Geostan Marine",500000
"GLOMMEN BUNKERSERVICE AS",1000000
"Golar LNG Management Ltd",7500000
"Gulfmark Rederi AS",200000
"HBC Asia Pte Ltd",1000000
"HMM Company Limted",7500000
"Hoteles Dinamicos Sa Vidanta",500000
"HØYERGRUPPEN AS",300000
"Hoyerpool AS",50000
"Hurtigruten Cruise AS",1250000
"IHB SHIPING CO JSC",250000
"Indigo Energy Partners",200000
"Interex Megaline Co Ltd",1500000
"Interrybflot Service Ltd",150000
"Iolcos Hellenic Maritime Enterprices",500000
"J ronco y Cia Sl",880000
"Jasa Merin (Malaysia) Sdn Bhd",350000
"JIANGSU STEAMSHIP COMPANY",750000
"JSC Polarnaya Ekspeditsia",300000
"JSC Yuzhmorryflot",300000
"Jutlandia Terminal A/S",3000000
"Jxtg Nippon Oil Energy Corporation",32000000
"Kolkhorst Petroleum Company",150000
"Kristian Gerhard Jebsens",500000
"Lahham Livestock Meat Trading Company",60000
"Lazer Energy Company",225000
"Leidos Holdings Inc",2400000
"Licvem Shiping & Trading Aps",1100000
"Livanos NG Maritime Company",200000
"LMCS Maritime Pvt Ltd",500000
"Long Hung Trading and Service Co Ltd",800000
"LSS Ocean Transport DMCC K/A",100000
"LUBREX FZC",150000
"Lyra Maritima Ltda",750000
"MAG Lube LLC a/k/a Mag",100000
"Mage PAO",750000
"Marguisa Shipping Lines SLU",1000000
"MARINE CRANE MC AB",75000
"Marine Survey Contractors NV",300000
"Marinekommando",500000
"Martin Energy Services",50000
"Meadway Shipping Trading Inc",5000000
"Meremar General Trading LLC",225000
"Midcon Gathering LLC",250000
"MMA OFFSHORE ASIA PTE LTD",150000
"MMA OFFSHORE ASIA VESSEL",200000
"MMT SWEDEN AB",150000
"Mohan Mutra Exports",200000
"MORADIÑA SL",1000000
"Navasota Oil Co Inc",150000
"NITTSU SHOJI CO LTD",500000
"NL TRANS OIL LIMITED",900000
"Nordic Bulk Carriers A/S",470000
"NORIENT PRODUCT POOL APS",3000000
"Nutam Operations Pty Ltd",800000
"Ocean Oilfield Drilling FZC",144000
"Oceanways Shipping Limited",2850000
"Oil Expertise and Shipping SAM",150000
"Oilmar Shipping and Chartering DMCC",1000000
"Oldstone Holding Ltd",200000
"Oliuverslun Islands HF Iceland Oil",2500000
"OMEGA BUNKER SNC Di",100000
"P/F EFFO",1500000
"P/F Magn",8500000
"Pacific Inter-Link Sdn Bhd",450000
"Penfield Tankers (Panamax) LLC",4000000
"PESQUERA AUGADOCE SL",130000
"PESQUERA ECCE HOMO SL",130000
"PESQUERA RAYMI SL",100000
"Pesquera Raymi SL",100000
"PETRO SUMMIT PTE LTD",2500000
"Petrokimia Butadiene Indonesia PT",175000
"PF EFFO",14500000
"PIONEER NAVIGATION LTD C/O",600000
"Platina Bulk Carriers Pts Ltd",700000
"PORTLINE CONTAINERS",1000000
"Posco Daewoo Corporation",2500000
"Product Shipping and Trading",500000
"PT Energy Transporter Indonesia",2000000
"PT Prayasa Indo Mitra Sarana",400000
"PT Tanto Intim Line",1000000
"PTT Oil and Retail Business Public Company Limited",2000000
"Public Joint Stock Company ""Murmansk Trawl Fleet""",200000
"Puma International Congo",90000
"Qatar Navigation Company a/t/a",750000
